participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial
31,abstract,2,76,428.0820000000003,432.56199999999984,436.4259999999995,0.4769999999989522,0.8619999999991705,9.844999999999343
31,abstract,2,77,445.66399999999885,450.30600000000055,454.0290000000005,0.6400000000012369,0.7219999999997526,9.865999999999984
31,abstract,2,78,461.3989999999994,466.00100000000015,470.20800000000054,0.6000000000003638,1.2060000000001307,10.309999999999489
31,abstract,2,79,480.6479999999992,485.21700000000055,489.0650000000005,0.5670000000009168,0.8459999999995489,9.917999999999664
31,abstract,2,80,497.146999999999,501.77599999999984,506.369999999999,0.6260000000002037,1.5930000000007567,10.72400000000016
31,abstract,2,81,513.1589999999997,517.7690000000001,,0.6080000000001746,,8.61199999999917
31,abstract,2,82,529.6459999999988,534.2309999999999,,0.5830000000005384,,8.587000000001353
31,abstract,2,83,545.2399999999999,549.8590000000004,553.387999999999,0.6170000000001892,0.5279999999984284,9.64899999999943
31,abstract,2,84,560.5759999999991,565.0900000000001,569.0,0.5120000000006257,0.9089999999996508,9.925000000001091
31,abstract,2,85,576.2170000000007,580.7649999999994,584.8469999999998,0.5459999999984575,1.0820000000003347,10.130999999999403
31,abstract,2,86,592.1129999999994,596.5550000000002,600.4509999999991,0.44100000000071293,0.8949999999986176,9.838999999999944
31,abstract,2,87,608.8469999999998,613.4069999999992,617.5609999999998,0.5579999999990832,1.1530000000002474,10.215000000000147
31,abstract,2,88,627.9349999999995,632.5869999999994,636.3719999999994,0.6499999999996362,0.7839999999996508,9.938000000000102
31,abstract,2,89,643.6409999999996,648.0839999999988,651.7459999999992,0.44100000000071293,0.6610000000000582,9.605999999999767
31,abstract,2,90,662.4390000000002,667.0669999999992,670.6939999999995,0.6260000000002037,0.625,9.755999999999403
31,abstract,2,91,677.8159999999989,682.3670000000002,685.9679999999988,0.5490000000008877,0.6009999999987485,9.653000000000247
31,abstract,2,92,694.2829999999993,698.8320000000003,702.5730000000003,0.5470000000004802,0.7399999999997817,9.791000000001077
31,abstract,2,93,710.9089999999997,715.6119999999993,719.3919999999997,0.7010000000009313,0.7790000000004511,9.984000000000377
